"X","Y","OBJECTID","CreationDate","Creator","EditDate","Editor","GlobalID","AreaID","UNIT_CODE","Park Name","DATE_EDIT","State","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","PARKNAME"
" -11834688.7","4271027.1938","         277","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","0762db2e-0b96-45ea-9731-48df47740134","         288","BAND","Bandelier National Monument","2016/04/26 00:00:00+00","NM","IM","928874","National Monument","Lands","Bandelier"
"-11487512.92","3418204.8672","         278","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2c75df9e-8373-4e01-9601-3f981545871d","         289","BIBE","Big Bend National Park","2018/01/09 00:00:00+00","TX","IM","1377082","National Park","Lands","Big Bend"
"-11574227.49"," 4408715.375","         279","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","3c104c09-e447-4e48-a433-5a8c61f97821","         290","CAVO","Capulin Volcano National Monument","2004/07/22 00:00:00+00","NM","IM","936867","National Monument","Lands","Capulin Volcano"
"-11644158.38","3779082.4235","         280","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","d49cf22f-1c75-45e8-94e8-728f7da744e8","         291","CAVE","Carlsbad Caverns National Park","2017/06/22 00:00:00+00","NM","IM","904780","National Park","Lands","Carlsbad Caverns"
" -11677504.2","3751090.3839","         281","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","e677a372-b21b-4408-ad8e-8822be8c1a0c","         292","GUMO","Guadalupe Mountains National Park","2010/12/21 00:00:00+00","TX","IM","1377201","National Park","Lands","Guadalupe Mountains"
"-11850488.49","3732781.1082","         282","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","56223291-2891-48b5-96fc-0b8a6a7ed487","         293","CHAM","Chamizal National Memorial","2008/05/20 00:00:00+00","TX","IM","1888906","National Memorial","Lands","Chamizal"
"-11565508.11","3580799.8382","         283","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","fcec572b-ea2d-40ce-a02f-5520b385b279","         294","FODA","Fort Davis National Historic Site","2018/04/27 00:00:00+00","TX","IM","1357585","National Historic Site","Lands","Fort Davis"
"-11689889.04","4287881.5645","         284","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","b6f10503-2ed7-46d0-af0f-ea54012751bc","         295","FOUN","Fort Union National Monument","2007/05/15 00:00:00+00","NM","IM","889156","National Monument","Lands","Fort Union"
"-12052951.66","3925553.8213","         285","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","0d93005b-bd09-4543-82ff-80a0c578a06c","         296","GICL","Gila Cliff Dwellings National Monument","2004/05/10 00:00:00+00","NM","IM","928945","National Monument","Lands","Gila Cliff Dwellings"
"-11809908.13","4063730.7031","         286","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","e18890c0-ba7c-4acb-b279-c427fb612ec6","         297","SAPU","Salinas Pueblo Missions National Monument","2013/11/26 00:00:00+00","NM","IM","936877","National Monument","Lands","Salinas Pueblo Missions"
